id,talk_id,speaker_id,reference,hypothesis,wer
<F0_M>,AlGore_2009,Al_Gore,last year i showed these 2 slides so that demonstrate that the arctic ice cap which for most of the last 3000000 years has been the size of the lower 48 states has shrunk by 40%,here i showed these 2 sleds said that demonstrate that the ark is cap which for most of the last 3000000 years has been the sins of the lower fort at states had shrunk by 40 present,0.06779661016949153
<F0_M>,AlGore_2009,Al_Gore,but this understates the seriousness of this particular problem because it does not show the thickness of the ice the arctic ice cap is in a sense the beating heart of the global climate system it expands in winter and contracts in summer the next slide i show you will be,but this understands the seriousness of this particular problem because it does not show the thickness of the ice the ark is cap is in a sense of the beating hart of the global climate stem it expands in winter and contracts in somer the next side show you will be,0.03308823529411765
<F0_M>,AlGore_2009,Al_Gore,a rapid fast forward of what is happened over the last 25 years the permanent ice is marked in red and as you see it expands to the dark blue that is the annual ice in winter and it contracts in summer,a rapid fast forward of what is happened over the last 25 years the prominent is is marked and read and as you see it expands to the dark blue that is the anal is in winter and it contracts in somer,0.03482587064676617
<F0_M>,AlGore_2009,Al_Gore,and the so called permanent ice 5 years old or older you can see is almost like blood spilling out of the body here,and the so called permanent is 5 years older older than she is almost like blud spilling out of the body here,0.06086956521739131
<F0_M>,AlGore_2009,Al_Gore,in 25 years it has gone from this to this this is a problem because the warming,in 25 years has gone from this to this this is a problem because the warming,0.012658227848101266
<F0_M>,AlGore_2009,Al_Gore,heats up the frozen ground around the arctic ocean where there is a massive amount of frozen carbon which when it thaws is turned into methane by microbes compared to the total amount of global warming pollution in the atmosphere that amount could double if we cross this tipping point,he is the rosan ground around the artic oton where there is a massive amount of rosin carbon which when it thus is turned into me than by microbes compared to the total amount of globe worming pollution in the atmosphere that amount could double if we cross this tipping point,0.03859649122807018
<F0_M>,AlGore_2009,Al_Gore,already in some shallow lakes in alaska methane is actively bubbling up out of the water professor katey walter from the university of alaska went out with another team to another shallow lake last winter,already in some shallow lakes and alaska methane is actively bubbling up out of the water professor can alter from the university of alaska went out with another team to another shallow lake last winter,0.014705882352941176
<F0_M>,AlGore_2009,Al_Gore,she is okay the question is whether we will be and one reason is this enormous heat sink heats up greenland from the north,she is 0 k the question is whether we will be and one reason as this enormous heats and heaps up greenland from the north,0.04918032786885246
<F0_M>,AlGore_2009,Al_Gore,this is an annual melting river but the volumes are much larger than ever this is the kangerlussuaq river in southwest,this is an annual melting river but the alms are much larger than ever this is the danger leg river in south west,0.0423728813559322
<F0_M>,AlGore_2009,Al_Gore,greenland if you want to know how sea level rises from land base ice melting this is where it reaches the sea these flows are increasing very rapidly,greenland if you want to know how she level rises from land base is melting this is where it reaches the these floes or increasing very rapidly,0.03355704697986577
<F0_M>,AlGore_2009,Al_Gore,at the other end of the planet antarctica the largest mass of ice on the planet last month scientists reported the entire continent is now in negative ice balance and west antarctica,at the other end of the planet and are of the largest mass of ice on the plan at last month santos reported the entire continent is now negative is balance and west and arica,0.054945054945054944
<F0_M>,AlGore_2009,Al_Gore,cropped up on top some under sea islands is particularly rapid in its melting that is equal to 20 feet of sea level as is greenland,propped up on tops of under sea islands is particularly rapid and its melting that is equal to 20 feet of sea level as is greenland,0.030534351145038167
