id,talk_id,speaker_id,reference,hypothesis,wer
<F0_M>,AlGore_2009,Al_Gore,last year i showed these 2 slides so that demonstrate that the arctic ice cap which for most of the last 3000000 years has been the size of the lower 48 states has shrunk by 40%,bak her i showed thes 2 slides said that demonstrate that the arick is capp which fore most of the last thre 1000000 yers has ben the sis of the lower 40 ath states has shroud by fourty perseant,0.1016949152542373
<F0_M>,AlGore_2009,Al_Gore,but this understates the seriousness of this particular problem because it does not show the thickness of the ice the arctic ice cap is in a sense the beating heart of the global climate system it expands in winter and contracts in summer the next slide i show you will be,but this under stades the serious nes of this perticular probleme becaus it dus nt show the thick nes of the is the artic ise cap is in a sence of the beating hart of the global climat sist om it expands in winter and contracts in somer the next slide i show yu wil be,0.08455882352941177
<F0_M>,AlGore_2009,Al_Gore,a rapid fast forward of what is happened over the last 25 years the permanent ice is marked in red and as you see it expands to the dark blue that is the annual ice in winter and it contracts in summer,a raped fast ford of whats happened ove the last twunty 5 yers the parmi nt is is market an read and as yu s it expand to the dark blu thats the anulka nd winter and it contracts ind somer,0.12437810945273632
<F0_M>,AlGore_2009,Al_Gore,and the so called permanent ice 5 years old or older you can see is almost like blood spilling out of the body here,and the so cald permanent ies 5 yers older older he can se its almost lik blud spilling out of thea body heer,0.10434782608695652
<F0_M>,AlGore_2009,Al_Gore,in 25 years it has gone from this to this this is a problem because the warming,in twentyfive yers haids gone from this to thes this is a problem be case the warming,0.08860759493670886
<F0_M>,AlGore_2009,Al_Gore,heats up the frozen ground around the arctic ocean where there is a massive amount of frozen carbon which when it thaws is turned into methane by microbes compared to the total amount of global warming pollution in the atmosphere that amount could double if we cross this tipping point,heats p the frosine ground arround the artic oton wher ther is a mas iv amount of frosine carben which when it ths is turned int a methane by microbes compeared to the total amount of glober worming pollution in the at mos fer that amount could double iff we crosse this tipping point,0.07719298245614035
<F0_M>,AlGore_2009,Al_Gore,already in some shallow lakes in alaska methane is actively bubbling up out of the water professor katey walter from the university of alaska went out with another team to another shallow lake last winter,al redy ind some shallow laks and alaska methane is actively bubbling oup out of the water perfesser cad walter from the university of alaska went out with another team to another halo lak last winter,0.049019607843137254
<F0_M>,AlGore_2009,Al_Gore,she is okay the question is whether we will be and one reason is this enormous heat sink heats up greenland from the north,shes 0 cy the question is whether we wil by and ane rason as this enormous heats seng heaps op grinling from the north,0.10655737704918032
<F0_M>,AlGore_2009,Al_Gore,this is an annual melting river but the volumes are much larger than ever this is the kangerlussuaq river in southwest,thiss is an annual melting rever but the val ums ar much larger than ever this is the anger lig rever in soth west,0.0847457627118644
<F0_M>,AlGore_2009,Al_Gore,greenland if you want to know how sea level rises from land base ice melting this is where it reaches the sea these flows are increasing very rapidly,greenland if yu anto know how se leval risers from land bas is melting this is wher it reechoes the ss thes flos ar increasing very rapidly,0.09395973154362416
<F0_M>,AlGore_2009,Al_Gore,at the other end of the planet antarctica the largest mass of ice on the planet last month scientists reported the entire continent is now in negative ice balance and west antarctica,at the other end of the planet and artic of the largest mass of is on the plan at last month sint is reported the entire conant is now in negative is bancs and west and artic,0.07142857142857142
<F0_M>,AlGore_2009,Al_Gore,cropped up on top some under sea islands is particularly rapid in its melting that is equal to 20 feet of sea level as is greenland,propt up on tops of under se islands is per ticul rapped and its melting thats equal to 20 fete of se level as is greenland,0.0916030534351145
<F0_M>,AlGore_2009,Al_Gore,in the himalayas the 3rd largest mass of ice at the top you see new lakes which a few years ago were glaciers 40% of all the people in the world get half of their drinking water from that melting flow in the andes this glacier is the source of drinking water for this city,in the him las the 3rd largest mase of iss at the top you se ne lakes which a feu yers ago were glaciers 40 perseant of al the people in the world gat haf of ther drinking water from that melting flow an the andy is this glaur is the sors of drinking water for this sit y,0.07720588235294118
<F0_M>,AlGore_2009,Al_Gore,the flows have increased but when they go away so does much of the drinking water in california there has been a 40% decline in the sierra snowpack this is hitting the reservoirs and the predictions as you have read are serious this drying around the world has lead to a dramatic increase in fires,the flos have increased but when they go away so das much of the drinking water and california thers been af fourty perseant decline on the sear 0 is sno pack this is hiding the reserve wars and the predictions as youve read ar sirius this dring a rond the world has lead to a dramatick increasin fiers,0.09427609427609428
<F0_M>,AlGore_2009,Al_Gore,and the disasters around the world have been increasing at an absolutely extraordinary and unprecedented rate 4 times as many in the last 30 years as in the previous 75 this is a completely unsustainable pattern if you look at in the context of history you can see,and the disasters arround the world have been increasing at an absolutely extraordinary and on president ad rat 4 times as meny i the lasst 30 yers as in the previous 75 this is a compleatly oun sustainable paterne if yu lok at it in the contexts of history you can s,0.06818181818181818
<F0_M>,AlGore_2009,Al_Gore,what this is doing,what tus his doing,0.1111111111111111
<F0_M>,AlGore_2009,Al_Gore,in the last 5 years we have added 70000000 tons of co 2 every 24 hours 25000000 tons every day to the oceans,in the last 5 yers weve aded 70 milon tuns of se 0 to every twinty for owre 20 fie milon tuns evry day to the octon is,0.17592592592592593
<F0_M>,AlGore_2009,Al_Gore,look carefully at the area of the eastern pacific from the americas extending westward and on either side of the indian subcontinent where there is a radical depletion of oxygen in the oceans,lok carefully at the ery of the eastern pasi ficke from the americas extending westward and on ether side of the indian sub conant were ther is a radical depletion of axin an in the ohioans,0.06282722513089005
<F0_M>,AlGore_2009,Al_Gore,the biggest single cause of global warming along with deforestation which is 20% of it is the burning of fossil fuels oil is a problem,the big saint single cas of globo warming along with de fart ation wich is 20 person ov it is the borning of fossil fules oyl is a problem,0.1044776119402985
<F0_M>,AlGore_2009,Al_Gore,and coal is the most serious problem the united states is one of the 2 largest emitters along with china and the proposal has been to build a lot more coal plants but we are beginning to see a sea change here are the ones that have been canceled in the last few years with some green alternatives proposed,and cal is the most serious problem the united states is one of the tou largest meters along with china and the proposal has ben to build a lat more colonel plants but were begining to se a se change her the wons hatha ben canst in the last feu yers with some gren alternatives sof propos,0.07540983606557378
<F0_M>,AlGore_2009,Al_Gore,however there is a political battle in our country and the coal industries and the oil industries spent a quarter of a $1000000000 in the last calendar year promoting clean coal which is an oxymoron that image reminded me of something,how ever ther is ay political bal ind ar country and the coll industry and the oil industry spent a courte of a 1000000000 dollers in the last colander yer promoting clean cal which is an oxe more on that image reminded me of somthing,0.08547008547008547
<F0_M>,AlGore_2009,Al_Gore,around christmas in my home in tennessee a 1000000000 gallons of coal sludge was spilled you probably saw it on the news this all over the country is the 2nd largest waste stream in america this happened around christmas one of the coal industry is ads around christmas was this one,ar round crismus an my hom in tenas a 1000000000 gans of cold sludge was spile he probably saw it on the nes this all over the contry as the secont largest waves tram and america this happened ar round crismus one of the colonel industry is ads ar round crismus was this on,0.08865248226950355
<F0_M>,AlGore_2009,Al_Gore,this is the source of much of the coal in west virginia the largest mountaintop miner is the head of massey coal,this s the sors of much of the colonel and west ere denia the largest a mon tope miner is the head of may cal,0.09821428571428571
<F0_M>,AlGore_2009,S13,let me be clear about it al gore nancy pelosi harry reid they do not know what they are talking about,leat me be cler abut al go hershie nans y palos i harry rad and they non now what tour tock about,0.1782178217821782
<F0_M>,AlGore_2009,Al_Gore,so the alliance for climate protection has launched 2 campaigns this is one of them part of one of them,so the allies fr clim it protection has lange d aid to campan is thiss is so wone ove them part of one of them,0.13592233009708737
