sig,args,wer,wer_per_talk
darkseagreenMantine,"['uda.kernel_size=3', 'uda.sigma=1.0', 'uda.encoding=""forward_diffusion""', 'uda.decoding=""euler""']",0.9154968497844589,"{'AlGore_2009': 0.9608843537414966, 'BarrySchwartz_2005G': 0.8806196840826246, 'BlaiseAguerayArcas_2007': 0.9502018842530283, 'BrianCox_2009U': 0.9018612521150592, 'CraigVenter_2008': 0.9577464788732394, 'DavidMerrill_2009': 0.9361888111888111, 'ElizabethGilbert_2009': 0.8591809775429327, 'WadeDavis_2003': 0.9405611031859249}"
turquoiseCroconaw,"['uda.kernel_size=5', 'uda.sigma=1.0', 'uda.encoding=""forward_diffusion""', 'uda.decoding=""ode""']",0.9285398474632475,"{'AlGore_2009': 0.9659863945578231, 'BarrySchwartz_2005G': 0.9073511543134872, 'BlaiseAguerayArcas_2007': 0.9421265141318977, 'BrianCox_2009U': 0.9238578680203046, 'CraigVenter_2008': 0.9689312344656172, 'DavidMerrill_2009': 0.9344405594405595, 'ElizabethGilbert_2009': 0.8885072655217966, 'WadeDavis_2003': 0.9417498811222064}"
seagreenPoliwhirl,"['uda.kernel_size=5', 'uda.sigma=0.1', 'uda.encoding=""forward_diffusion""', 'uda.decoding=""ode""']",0.9214656792306842,"{'AlGore_2009': 0.9668367346938775, 'BarrySchwartz_2005G': 0.9015795868772782, 'BlaiseAguerayArcas_2007': 0.9448183041722745, 'BrianCox_2009U': 0.9255499153976311, 'CraigVenter_2008': 0.9643744821872411, 'DavidMerrill_2009': 0.9353146853146853, 'ElizabethGilbert_2009': 0.8671070013210039, 'WadeDavis_2003': 0.9360437470280552}"
dimgrayMoltres,"['uda.kernel_size=3', 'uda.sigma=0.1', 'uda.encoding=""forward_diffusion""', 'uda.decoding=""ode""']",0.9214656792306842,"{'AlGore_2009': 0.9668367346938775, 'BarrySchwartz_2005G': 0.9015795868772782, 'BlaiseAguerayArcas_2007': 0.9448183041722745, 'BrianCox_2009U': 0.9255499153976311, 'CraigVenter_2008': 0.9643744821872411, 'DavidMerrill_2009': 0.9353146853146853, 'ElizabethGilbert_2009': 0.8671070013210039, 'WadeDavis_2003': 0.9360437470280552}"
limegreenPichu,"['uda.kernel_size=3', 'uda.sigma=2.0', 'uda.encoding=""prior_sampling""', 'uda.decoding=""ode""']",0.9369956891787333,"{'AlGore_2009': 0.9651360544217688, 'BarrySchwartz_2005G': 0.928311057108141, 'BlaiseAguerayArcas_2007': 0.9488559892328399, 'BrianCox_2009U': 0.9458544839255499, 'CraigVenter_2008': 0.9614747307373653, 'DavidMerrill_2009': 0.9405594405594405, 'ElizabethGilbert_2009': 0.9080581241743725, 'WadeDavis_2003': 0.9415121255349501}"
mediumorchidWeepinbell,"['uda.kernel_size=5', 'uda.sigma=0.1', 'uda.encoding=""prior_sampling""', 'uda.decoding=""euler""']",0.9195866032939096,"{'AlGore_2009': 0.9710884353741497, 'BarrySchwartz_2005G': 0.8991494532199271, 'BlaiseAguerayArcas_2007': 0.9414535666218035, 'BrianCox_2009U': 0.9306260575296108, 'CraigVenter_2008': 0.9697597348798674, 'DavidMerrill_2009': 0.9265734265734266, 'ElizabethGilbert_2009': 0.8599735799207398, 'WadeDavis_2003': 0.9348549690917737}"
grayAzumarill,['+asr.baseline=true'],0.5122139935890351,"{'AlGore_2009': 0.8205782312925171, 'BarrySchwartz_2005G': 0.33718104495747264, 'BlaiseAguerayArcas_2007': 0.7738896366083445, 'BrianCox_2009U': 0.37225042301184436, 'CraigVenter_2008': 0.6578293289146645, 'DavidMerrill_2009': 0.3575174825174825, 'ElizabethGilbert_2009': 0.259445178335535, 'WadeDavis_2003': 0.6761768901569187}"
mediumpurpleBulbasaur,"['uda.kernel_size=5', 'uda.sigma=2.0', 'uda.encoding=""ode""', 'uda.decoding=""ode""']",0.5843926163369073,"{'AlGore_2009': 0.8639455782312925, 'BarrySchwartz_2005G': 0.3669501822600243, 'BlaiseAguerayArcas_2007': 0.8324360699865411, 'BrianCox_2009U': 0.5279187817258884, 'CraigVenter_2008': 0.7576636288318144, 'DavidMerrill_2009': 0.4090909090909091, 'ElizabethGilbert_2009': 0.285336856010568, 'WadeDavis_2003': 0.814075130765573}"
darkkhakiMoltres,"['uda.kernel_size=9', 'uda.sigma=0.1', 'uda.encoding=""prior_sampling""', 'uda.decoding=""ode""']",0.9221841494418039,"{'AlGore_2009': 0.9693877551020408, 'BarrySchwartz_2005G': 0.9003645200486027, 'BlaiseAguerayArcas_2007': 0.946164199192463, 'BrianCox_2009U': 0.9272419627749577, 'CraigVenter_2008': 0.9598177299088649, 'DavidMerrill_2009': 0.9370629370629371, 'ElizabethGilbert_2009': 0.8697490092470277, 'WadeDavis_2003': 0.9384213029006182}"
tealSnubbull,"['uda.kernel_size=3', 'uda.sigma=0.1', 'uda.encoding=""prior_sampling""', 'uda.decoding=""euler""']",0.9195866032939096,"{'AlGore_2009': 0.9710884353741497, 'BarrySchwartz_2005G': 0.8991494532199271, 'BlaiseAguerayArcas_2007': 0.9414535666218035, 'BrianCox_2009U': 0.9306260575296108, 'CraigVenter_2008': 0.9697597348798674, 'DavidMerrill_2009': 0.9265734265734266, 'ElizabethGilbert_2009': 0.8599735799207398, 'WadeDavis_2003': 0.9348549690917737}"
