audio_path,reference,wer,w2v_hyp,w2v_score,gtts_ll,gtts_prior,gtts_delta
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.02,the over whelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they read,6186.874800341127,7958.9453125,-86032.21875,93991.1640625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.01,the overwhelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they read,6183.239586147069,7994.2578125,-85983.296875,93977.5546875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.02,the over whelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,6181.403497412204,7634.5,-86002.2890625,93636.7890625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.0,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,6177.7682832181445,7749.09375,-85869.78125,93618.875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.03,they over whelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they read,6176.808443206547,7972.9453125,-86038.7734375,94011.71875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.03,the over whelming majority of people in this country now how to sift the wheat from the chaff in what they cheer and what they read,6175.602711681125,7590.0234375,-86098.984375,93689.0078125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.03,the over whelming majority of people in this country now how to sift the wheat from the chaff in what they here and what they read,6174.928010416028,8441.5546875,-86043.40625,94484.9609375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.03,the over whelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they dread,6174.286846178172,8016.4609375,-85965.0234375,93981.484375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.03,the over whelming majority of people in this country now how to sift the wheat from the chaff in what they heard and what they read,6172.359482715128,8272.7890625,-85991.5234375,94264.3125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.03,the over whelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they red,6172.067022106049,7607.421875,-86041.984375,93649.40625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.02,the overwhelming majority of people in this country now how to sift the wheat from the chaff in what they cheer and what they read,6171.967497487066,7719.7421875,-86008.375,93728.1171875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.02,the overwhelming majority of people in this country now how to sift the wheat from the chaff in what they here and what they read,6171.292796221969,7361.421875,-85983.8515625,93345.2734375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.03,the over whelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they are,6170.76013564348,7928.8671875,-86047.453125,93976.3203125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.03,the over whelming majority of people in this country now how to sift the wheat from the chaff in what they her and what they read,6170.677081630229,7326.046875,-85959.125,93285.171875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.02,the overwhelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they dread,6170.651631984113,7799.2109375,-85952.53125,93751.7421875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.02,the over whelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they dread,6168.815543249249,7825.21875,-85937.359375,93762.578125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.02,the overwhelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they red,6168.43180791199,7629.1328125,-85945.5,93574.6328125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.03,the over whelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they were,6168.343416274188,8113.1015625,-86059.9375,94173.0390625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.02,the overwhelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they are,6167.124921449421,7258.34375,-86043.0078125,93301.3515625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.02,the over whelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they red,6166.595719177126,7851.15625,-85977.2265625,93828.3828125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.03,the over whelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they breed,6166.558929026126,8171.8671875,-86095.984375,94267.8515625
