audio_path,reference,wer,w2v_hyp,w2v_score,gtts_ll,gtts_prior,gtts_delta
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor ity of people in this contry now how to sift the whet frome the chaf in what they heer and what they read,6359.064924240112,7730.0546875,-86100.375,93830.4296875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of people in this contry now how to sift the whet frome the chaf in what they heer and what they redd,6358.172634601593,7723.359375,-86074.625,93797.984375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming ma gar ity of people in this contry now how to sift the whet frome the chaf in what they heer and what they read,6357.950562238693,7415.75,-86074.7265625,93490.4765625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming ma garrity of people in this contry now how to sift the whet frome the chaf in what they heer and what they read,6357.918035268784,7399.59375,-86109.1484375,93508.7421875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor ity of people in this contry now how to sift the wet frome the chaf in what they heer and what they read,6357.845481872559,7633.09375,-86082.375,93715.46875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor itty of people in this contry now how to sift the whet frome the chaf in what they heer and what they read,6357.802422046661,7405.34375,-86055.40625,93460.75
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,9,the over whelming magor ity of people in this contry now how to sift the whet frome the chaff in what they heer and what they read,6357.68553686142,8060.171875,-86140.90625,94201.078125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming maar ity of people in this contry now how to sift the whet frome the chaf in what they heer and what they read,6357.6718735694885,7801.453125,-86077.0859375,93878.5390625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of people in this contry now haow to sift the whet frome the chaf in what they heer and what they read,6357.476694107056,8078.03125,-86061.453125,94139.484375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor ity of people in this contry now how to sift the wheet frome the chaf in what they heer and what they read,6357.4128074646,7440.46875,-86056.15625,93496.625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,9,the over whelming magor ity of people in this contry now how to sift the wheat frome the chaf in what they heer and what they read,6357.355889797211,7644.0625,-86032.515625,93676.578125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of people in this contry now how to sift the whet frome the chaf in what they heer and whate they read,6357.331197738648,7069.6171875,-86061.578125,93131.1953125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor ity of people in this contry now how to sift the whet frome the chafe in what they heer and what they read,6357.150494098663,7586.5234375,-86084.7890625,93671.3125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of peeple in this contry now how to sift the whet frome the chaf in what they heer and what they read,6357.123186588287,7101.9296875,-86193.921875,93295.8515625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of people in this contry now how to sifted the whet frome the chaf in what they heer and what they read,6357.076433300972,7606.8203125,-86063.9609375,93670.78125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,12,the over whelming ma gar ity of people in this contry now how to sift the whet frome the chaf in what they heer and what they redd,6357.058272600174,7666.0234375,-86068.859375,93734.8828125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming ma garrity of people in this contry now how to sift the whet frome the chaf in what they heer and what they redd,6357.025745630264,7460.7109375,-86028.5390625,93489.25
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of people in this contry now how to sift the wet frome the chaf in what they heer and what they redd,6356.953192234039,7949.2265625,-86068.0625,94017.2890625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor itty of people in this contry now how to sift the whet frome the chaf in what they heer and what they redd,6356.910132408142,7087.0859375,-86048.5390625,93135.625
