audio_path,reference,wer,w2v_hyp,w2v_score
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.02,the over whelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they read,6186.874800341127
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.01,the overwhelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they read,6183.239586147069
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.02,the over whelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,6181.403497412204
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.00,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,6177.7682832181445
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.03,they over whelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they read,6176.808443206547
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.03,the over whelming majority of people in this country now how to sift the wheat from the chaff in what they cheer and what they read,6175.602711681125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.03,the over whelming majority of people in this country now how to sift the wheat from the chaff in what they here and what they read,6174.928010416028
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.03,the over whelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they dread,6174.286846178172
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.03,the over whelming majority of people in this country now how to sift the wheat from the chaff in what they heard and what they read,6172.359482715128
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.03,the over whelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they red,6172.067022106049
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.02,the overwhelming majority of people in this country now how to sift the wheat from the chaff in what they cheer and what they read,6171.967497487066
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.02,the overwhelming majority of people in this country now how to sift the wheat from the chaff in what they here and what they read,6171.292796221969
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.03,the over whelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they are,6170.76013564348
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.03,the over whelming majority of people in this country now how to sift the wheat from the chaff in what they her and what they read,6170.677081630229
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.02,the overwhelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they dread,6170.651631984113
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.02,the over whelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they dread,6168.815543249249
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.02,the overwhelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they red,6168.43180791199
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.03,the over whelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they were,6168.343416274188
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.02,the overwhelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they are,6167.124921449421
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.02,the over whelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they red,6166.595719177126
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.03,the over whelming majority of people in this country now how to sift the wheat from the chaff in what they hear and what they breed,6166.558929026126
