audio_path,reference,wer,w2v_hyp,w2v_score
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor ity of people in this contry now how to sift the whet frome the chaf in what they heer and what they read,6359.064924240112
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of people in this contry now how to sift the whet frome the chaf in what they heer and what they redd,6358.172634601593
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming ma gar ity of people in this contry now how to sift the whet frome the chaf in what they heer and what they read,6357.950562238693
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming ma garrity of people in this contry now how to sift the whet frome the chaf in what they heer and what they read,6357.918035268784
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor ity of people in this contry now how to sift the wet frome the chaf in what they heer and what they read,6357.845481872559
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor itty of people in this contry now how to sift the whet frome the chaf in what they heer and what they read,6357.802422046661
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,9,the over whelming magor ity of people in this contry now how to sift the whet frome the chaff in what they heer and what they read,6357.68553686142
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming maar ity of people in this contry now how to sift the whet frome the chaf in what they heer and what they read,6357.6718735694885
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of people in this contry now haow to sift the whet frome the chaf in what they heer and what they read,6357.476694107056
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor ity of people in this contry now how to sift the wheet frome the chaf in what they heer and what they read,6357.4128074646
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,9,the over whelming magor ity of people in this contry now how to sift the wheat frome the chaf in what they heer and what they read,6357.355889797211
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of people in this contry now how to sift the whet frome the chaf in what they heer and whate they read,6357.3311977386475
