audio_path,reference,wer,whisper_hypothesis,whisper_sum_logprob,gtts_ll,gtts_prior,gtts_delta
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,The overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read.,0.04,"The overwhelming majority of people in this country, know how to sift the wheat from the chaff in what they hear and what they read.",-9.788665771484377,8191.203125,-86012.0859375,94203.2890625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,The overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read.,0.08,"the overwhelming majority of people in this country, know how to sift the wheat from the chaff in what they hear and what they read.",-9.935160636901855,8217.578125,-86021.578125,94239.15625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the Commissioners to inquire into the state of the municipal corporations in eighteen thirty-five.,0.238095238095238,as is shown by the report of the commissioners to inquire into the state of the Municipal Corporations in 1835.,-8.202669143676758,7426.4296875,-77134.6953125,84561.125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the Commissioners to inquire into the state of the municipal corporations in eighteen thirty-five.,0.2857142857142857,as is shown by the report of the commissioners to inquire into the State of the Municipal Corporations in 1835.,-8.314933776855469,7649.890625,-77131.078125,84780.96875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the Commissioners to inquire into the state of the municipal corporations in eighteen thirty-five.,0.1904761904761904,as is shown by the report of the commissioners to enquire into the state of the municipal corporations in 1835.,-8.47924518585205,7740.7890625,-77061.640625,84802.4296875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,Even the Caslon type when enlarged shows great shortcomings in this respect:,0.3333333333333333,"Even the Caslung type, when enlarged, shows great shortcomings in this respect.",-8.020455360412598,6155.70703125,-56799.73828125,62955.4453125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,Even the Caslon type when enlarged shows great shortcomings in this respect:,0.3333333333333333,"Even the castle-en-type, when enlarged, shows great shortcomings in this respect.",-10.597158432006836,6651.3125,-56886.9453125,63538.2578125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,Even the Caslon type when enlarged shows great shortcomings in this respect:,0.4166666666666667,"Even the Caslung type, when in large, shows great shortcomings in this respect.",-10.601022720336914,6444.2109375,-56777.32421875,63221.53515625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,Even the Caslon type when enlarged shows great shortcomings in this respect:,0.3333333333333333,"Even the Cas-Lung type, when enlarged, shows great shortcomings in this respect.",-10.815555572509766,6335.2109375,-56808.7890625,63144.0
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,Even the Caslon type when enlarged shows great shortcomings in this respect:,0.3333333333333333,"Even the castle-in-type, when enlarged, shows great shortcomings in this respect.",-10.94192123413086,5912.51171875,-56886.54296875,62799.0546875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,Even the Caslon type when enlarged shows great shortcomings in this respect:,0.4166666666666667,"Even the Caslung Type, when in large, shows great shortcomings in this respect.",-11.013690948486328,6233.1796875,-56797.875,63031.0546875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,Even the Caslon type when enlarged shows great shortcomings in this respect:,0.25,"Even the Caslon type, when enlarged, shows great shortcomings in this respect.",-11.222728729248049,5839.8046875,-56783.87109375,62623.67578125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ003-0345.wav,All the committee could do in this respect was to throw the responsibility on others.,0.1333333333333333,"all the committee could do in this respect, was to throw the responsibility on others.",-6.605954170227051,7043.35546875,-53402.5546875,60445.91015625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ003-0345.wav,All the committee could do in this respect was to throw the responsibility on others.,0.0666666666666666,all the committee could do in this respect was to throw the responsibility on others.,-7.964860439300537,7478.8046875,-53430.7109375,60909.515625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ003-0345.wav,All the committee could do in this respect was to throw the responsibility on others.,0.1333333333333333,"All the committee could do, in this respect, was to throw the responsibility on others.",-8.262130737304688,6887.046875,-53365.40625,60252.453125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ003-0345.wav,All the committee could do in this respect was to throw the responsibility on others.,0.2,"all the committee could do, in this respect, was to throw the responsibility on others.",-8.717814445495605,7163.61328125,-53378.3671875,60541.98046875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ003-0345.wav,All the committee could do in this respect was to throw the responsibility on others.,0.0,All the committee could do in this respect was to throw the responsibility on others.,-9.09693431854248,7055.6953125,-53430.2421875,60485.9375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ007-0154.wav,"These pungent and well-grounded strictures applied with still greater force to the unconvicted prisoner, the man who came to the prison innocent, and still uncontaminated,",0.16,These pungent and well-grounded strictures applied with still greater force to the unconvicted prisoner. The man who came to the prison innocent and still uncontaminated.,-9.014514923095703,12022.96875,-96198.25,108221.21875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ007-0154.wav,"These pungent and well-grounded strictures applied with still greater force to the unconvicted prisoner, the man who came to the prison innocent, and still uncontaminated,",0.08,"These pungent and well-grounded strictures applied with still greater force to the unconvicted prisoner, the man who came to the prison innocent and still uncontaminated.",-9.333208084106444,11155.71875,-96219.734375,107375.453125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ007-0154.wav,"These pungent and well-grounded strictures applied with still greater force to the unconvicted prisoner, the man who came to the prison innocent, and still uncontaminated,",0.2,"These pungent and well-grounded strictures, applied with still greater force to the unconvicted prisoner. The man who came to the prison innocent and still uncontaminated.",-11.292891502380373,11907.0078125,-96213.8984375,108120.90625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ007-0154.wav,"These pungent and well-grounded strictures applied with still greater force to the unconvicted prisoner, the man who came to the prison innocent, and still uncontaminated,",0.04,"These pungent and well-grounded strictures applied with still greater force to the unconvicted prisoner, the man who came to the prison innocent and still uncontaminated,",-13.12704086303711,11680.75,-96163.2890625,107844.0390625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ018-0098.wav,and recognized as one of the frequenters of the bogus law-stationers. His arrest led to that of others.,0.1111111111111111,and recognized as one of the frequenters of the bogus law stationers. His arrest led to that of others.,-11.622440338134766,8742.546875,-69656.515625,78399.0625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ047-0044.wav,"Oswald was, however, willing to discuss his contacts with Soviet authorities. He denied having any involvement with Soviet intelligence agencies",0.05,"Oswald was, however, willing to discuss his contacts with Soviet authorities. He denied having any involvement with Soviet intelligence",-6.163543224334717,13155.3203125,-87926.71875,101082.0390625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ047-0044.wav,"Oswald was, however, willing to discuss his contacts with Soviet authorities. He denied having any involvement with Soviet intelligence agencies",0.1,"Ozworld was, however, willing to discuss his contacts with Soviet authorities. He denied having any involvement with Soviet intelligence agencies.",-9.398624420166016,13131.9375,-87947.671875,101079.609375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ047-0044.wav,"Oswald was, however, willing to discuss his contacts with Soviet authorities. He denied having any involvement with Soviet intelligence agencies",0.1,"Oswald was, however, willing to discuss his contacts with Soviet authorities. He denied having any involvement with Soviet Intelligence",-9.8516206741333,13332.84375,-87871.4296875,101204.2734375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ047-0044.wav,"Oswald was, however, willing to discuss his contacts with Soviet authorities. He denied having any involvement with Soviet intelligence agencies",0.05,"Oswald was, however, willing to discuss his contacts with Soviet authorities. He denied having any involvement with Soviet intelligence agencies.",-10.766889572143556,13273.734375,-87915.96875,101189.703125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ047-0044.wav,"Oswald was, however, willing to discuss his contacts with Soviet authorities. He denied having any involvement with Soviet intelligence agencies",0.15,"Oswald was, however, willing to discuss his contacts with Soviet authorities. He denied having any involvement with Soviet-",-13.134819984436035,12979.421875,-87856.6484375,100836.0703125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0038.wav,"The first physician to see the President at Parkland Hospital was Dr. Charles J. Carrico, a resident in general surgery.",0.05,"The first physician to see the president at Parkland Hospital was Dr. Charles J. Carrico, a resident in general surgery.",-7.938873767852783,12288.1015625,-73760.390625,86048.4921875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0038.wav,"The first physician to see the President at Parkland Hospital was Dr. Charles J. Carrico, a resident in general surgery.",0.1,"The first physician to see the president at Parkland Hospital was Dr. Charles J. Carico, a resident in general surgery.",-8.193900108337402,11775.3671875,-73803.171875,85578.5390625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0038.wav,"The first physician to see the President at Parkland Hospital was Dr. Charles J. Carrico, a resident in general surgery.",0.1,"The first physician to see the president at Parkland Hospital was Dr. Charles J. Carroco, a resident in general surgery.",-8.349087715148926,11436.6015625,-73772.578125,85209.1796875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0038.wav,"The first physician to see the President at Parkland Hospital was Dr. Charles J. Carrico, a resident in general surgery.",0.1,"The first physician to see the president at Parkland Hospital was Dr. Charles J. Carreco, a resident in general surgery.",-8.468413352966309,11939.1640625,-73771.125,85710.2890625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0038.wav,"The first physician to see the President at Parkland Hospital was Dr. Charles J. Carrico, a resident in general surgery.",0.1,"The first physician to see the president at Parkland Hospital was Dr. Charles J. Kerico, a resident in general surgery.",-9.492734909057615,12027.34375,-73780.71875,85808.0625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ048-0194.wav,during the morning of November twenty-two prior to the motorcade.,0.2,"During the morning of November 22, prior to the motorcade.",-4.744936466217041,7209.578125,-34183.484375,41393.0625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ048-0194.wav,during the morning of November twenty-two prior to the motorcade.,0.3,"During the morning of november 22, prior to the motorcade.",-5.546051979064941,7303.56640625,-34173.87109375,41477.4375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ048-0194.wav,during the morning of November twenty-two prior to the motorcade.,0.3,"During the morning of November 22, prior to the MotorCade.",-8.191997528076172,6806.43359375,-34198.0078125,41004.44140625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ048-0194.wav,during the morning of November twenty-two prior to the motorcade.,0.3,During the morning of november 22 prior to the motorcade.,-8.264066696166992,6848.79296875,-34146.0078125,40994.80078125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ048-0194.wav,during the morning of November twenty-two prior to the motorcade.,0.2,"During the morning of November 22th, prior to the motorcade.",-8.498079299926758,7185.05078125,-34184.59375,41369.64453125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ048-0194.wav,during the morning of November twenty-two prior to the motorcade.,0.2,During the morning of November 22 prior to the motorcade.,-8.598745346069336,7091.37109375,-34155.0,41246.37109375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ048-0194.wav,during the morning of November twenty-two prior to the motorcade.,0.3,"During the morning of November, 22, prior to the motorcade.",-8.761927604675293,7253.109375,-34159.25,41412.359375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ048-0194.wav,during the morning of November twenty-two prior to the motorcade.,0.2,during the morning of november 22 prior to the motorcade.,-9.548395156860352,7336.3203125,-34168.18359375,41504.50390625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ049-0026.wav,On occasion the Secret Service has been permitted to have an agent riding in the passenger compartment with the President.,0.1,"On occasion, the Secret Service has been permitted to have an agent riding in the passenger compartment with the president.",-8.346794128417969,9366.125,-72722.7890625,82088.9140625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ049-0026.wav,On occasion the Secret Service has been permitted to have an agent riding in the passenger compartment with the President.,0.15,"On occasion, the Secret Service has been permitted to have an agent writing in the passenger compartment with the president.",-9.165696144104004,9793.375,-72769.953125,82563.328125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ049-0026.wav,On occasion the Secret Service has been permitted to have an agent riding in the passenger compartment with the President.,0.05,"On occasion, the Secret Service has been permitted to have an agent riding in the passenger compartment with the President.",-9.240396499633787,10057.7421875,-72711.53125,82769.2734375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ004-0152.wav,"although at Mr. Buxton's visit a new jail was in process of erection, the first step towards reform since Howard's visitation in seventeen seventy-four.",0.3333333333333333,"Although at Mr. Buckston's visit, a new jail was in process of erection. The first step towards reforms since Howard's visitation in 1774.",-8.19180679321289,10955.875,-95433.1875,106389.0625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ004-0152.wav,"although at Mr. Buxton's visit a new jail was in process of erection, the first step towards reform since Howard's visitation in seventeen seventy-four.",0.2916666666666667,"Although at Mr. Buxton's visit, a new jail was in process of erection. The first step towards reforms since Howard's visitation in 1774.",-8.741951942443848,10635.203125,-95389.875,106025.078125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ004-0152.wav,"although at Mr. Buxton's visit a new jail was in process of erection, the first step towards reform since Howard's visitation in seventeen seventy-four.",0.3333333333333333,"Although at Mr. Buchton's visit, a new jail was in process of erection. The first step towards reforms since Howard's visitation in 1774.",-9.132973670959473,10532.3828125,-95398.34375,105930.7265625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ004-0152.wav,"although at Mr. Buxton's visit a new jail was in process of erection, the first step towards reform since Howard's visitation in seventeen seventy-four.",0.2916666666666667,"although at Mr. Buckston's visit, a new jail was in process of erection. The first step towards reforms since Howard's visitation in 1774.",-9.183484077453612,10870.0703125,-95450.34375,106320.4140625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ004-0152.wav,"although at Mr. Buxton's visit a new jail was in process of erection, the first step towards reform since Howard's visitation in seventeen seventy-four.",0.3333333333333333,"Although at Mr. Buckston's visit, a new jail was in process of erection. The first step towards reforms since Howard's visitation in 1774?",-14.314817428588867,11123.7109375,-95420.546875,106544.2578125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ004-0152.wav,"although at Mr. Buxton's visit a new jail was in process of erection, the first step towards reform since Howard's visitation in seventeen seventy-four.",0.3333333333333333,"Although at Mr. Buckston's visit, a new jail was in process of erection. The first step towards reforms since Howard's visitation in 1774,",-14.603477478027344,10446.9609375,-95439.71875,105886.6796875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ004-0152.wav,"although at Mr. Buxton's visit a new jail was in process of erection, the first step towards reform since Howard's visitation in seventeen seventy-four.",0.3333333333333333,"Although at Mr. Buckston's visit, a new jail was in process of erection. The first step towards reforms since Howard's visitation in 1774",-14.712076187133787,10476.78125,-95494.1875,105970.96875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ004-0152.wav,"although at Mr. Buxton's visit a new jail was in process of erection, the first step towards reform since Howard's visitation in seventeen seventy-four.",0.2916666666666667,"Although at Mr. Buxton's visit, a new jail was in process of erection. The first step towards reforms since Howard's visitation in 1774?",-14.815603256225586,11103.875,-95432.1953125,106536.0703125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ004-0152.wav,"although at Mr. Buxton's visit a new jail was in process of erection, the first step towards reform since Howard's visitation in seventeen seventy-four.",0.3333333333333333,"Although at Mr. Buckston's visit, a new jail was in process of erection. The first step towards reforms since Howard's visitation in 1774.""",-14.98297119140625,10438.828125,-95426.328125,105865.15625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ004-0152.wav,"although at Mr. Buxton's visit a new jail was in process of erection, the first step towards reform since Howard's visitation in seventeen seventy-four.",0.2916666666666667,"although at Mr. Buckston's visit, a new jail was in process of erection. The first step towards reforms since Howard's visitation in 1774?",-15.2141752243042,10781.9609375,-95371.890625,106153.8515625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ008-0278.wav,"or theirs might be one of many, and it might be considered necessary to ""make an example.""",0.3529411764705882,or there is might be one of many. And it might be considered necessary to make an example.,-5.717104434967041,9091.16796875,-56368.5390625,65459.70703125
