audio_path,reference,wer,wspr_hyp,wspr_prob,gtts_ll,gtts_prior,gtts_delta
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.0,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,-9.785205841064451,8128.765625,-85885.359375,94014.125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,0.0,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,-8.209773063659668,7198.9140625,-76971.84375,84170.7578125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,0.05,as is shown by the report of the commissioners to enquire into the state of the municipal corporations in 1835,-8.483234405517578,7378.6796875,-77019.6796875,84398.359375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.0833333333333333,even the caslung type when enlarged shows great shortcomings in this respect,-8.019025802612305,6511.390625,-56793.625,63305.015625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.1666666666666666,even the castle en type when enlarged shows great shortcomings in this respect,-10.596060752868652,5995.11328125,-56796.80078125,62791.9140625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.25,even the caslung type when in large shows great shortcomings in this respect,-10.597715377807615,6093.84765625,-56979.25,63073.09765625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.1666666666666666,even the cas lung type when enlarged shows great shortcomings in this respect,-10.810335159301758,6621.87890625,-56815.765625,63437.64453125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.1666666666666666,even the castle in type when enlarged shows great shortcomings in this respect,-10.945075988769531,6368.68359375,-56791.21875,63159.90234375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.0,even the caslon type when enlarged shows great shortcomings in this respect,-11.236740112304688,6286.2734375,-56748.9375,63035.2109375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ003-0345.wav,all the committee could do in this respect was to throw the responsibility on others,0.0,all the committee could do in this respect was to throw the responsibility on others,-6.6141204833984375,6837.42578125,-53415.0625,60252.48828125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ007-0154.wav,these pungent and well grounded strictures applied with still greater force to the unconvicted prisoner the man who came to the prison innocent and still uncontaminated,0.0,these pungent and well grounded strictures applied with still greater force to the unconvicted prisoner the man who came to the prison innocent and still uncontaminated,-9.022416114807127,11544.921875,-96210.3359375,107755.2578125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ018-0098.wav,and recognized as one of the frequenters of the bogus law stationers his arrest led to that of others,0.0,and recognized as one of the frequenters of the bogus law stationers his arrest led to that of others,-11.63108253479004,8145.1328125,-69648.3828125,77793.515625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ047-0044.wav,oswald was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet intelligence agencies,0.05,oswald was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet intelligence,-6.164278507232666,12992.6953125,-87871.21875,100863.9140625
